id,timestamp,vehicle_id,latitude,longitude,altitude,speed,rpm,engine_temp,throttle_pos,engine_load,fuel_level,fl_pressure,fl_temp,fl_battery,fr_pressure,fr_temp,fr_battery,rl_pressure,rl_temp,rl_battery,rr_pressure,rr_temp,rr_battery
129,2025-11-07 04:23:31+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974190667,107.6448395,691.1,18,2717,85,21.56863,41.56863,,,,,,,,,,,,,
130,2025-11-07 04:23:36+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974156167,107.6446228,691.1,12,1746,85,16.07843,18.03922,,,,,,,,,,,,,
131,2025-11-07 04:23:41+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974142,107.6445143,692.1,8,1228,85,19.21569,48.62745,,,,,,,,,,,,,
132,2025-11-07 04:23:46+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974131,107.6443675,691.8,15,2236,86,19.21569,31.76471,,,,,,,,,,,,,
133,2025-11-07 04:23:51+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974079833,107.6442008,691.6,7,1156,86,16.47059,33.33333,,,,,,,,,,,,,
134,2025-11-07 04:23:56+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974064333,107.6441212,691.9,8,1241,86,18.82353,44.70588,,,,,,,,,,,,,
135,2025-11-07 04:24:01+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974034333,107.643968,691.3,17,2493,86,20,31.37255,,,,,,,,,,,,,
136,2025-11-07 04:24:06+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.974004667,107.6438118,691.1,6,807,86,15.29412,24.70588,,,,,,,,,,,,,
137,2025-11-07 04:24:11+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973984667,107.6437125,691.3,14,2167,86,21.56863,49.01961,,,,,,,,,,,,,
138,2025-11-07 04:24:16+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973954167,107.6435115,692.8,18,2598,86,17.64706,18.03922,,,,,,,,,,,,,
139,2025-11-07 04:24:21+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973927333,107.6433523,693.4,8,1162,87,15.68627,20.39216,,,,,,,,,,,,,
140,2025-11-07 04:24:26+00,4d106730-1088-4892-9045-ffeebc4d23bc,-6.973911167,107.6432657,693.5,9,1378,87,19.60784,49.80392,,,,,,,,,,,,,
