timestamp,latitude,longitude,altitude,speed,engine_load,fl_pressure,fl_temp,fr_pressure,fr_temp,rl_pressure,rl_temp,rr_pressure,rr_temp,distance_traveled_m,sum_distance_traveled_m,elevation_traveled_m,tr_fl,tr_fr,tr_rl,tr_rr
2025-11-14 05:40:32+00,-6.916848833,107.6619185,697.8,14,54.90196,27.41117,35.0,28.86149,35.0,29.58666,35.0,24.22045,33.0,21.252357641639392,1140.5184789521575,9.099999999999909,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:40:37+00,-6.916979,107.6620308,695.9,17,63.92157,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,19.05684882663461,1159.5753277787921,-1.8999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:40:42+00,-6.917171333,107.6621745,695.7,21,62.35294,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,26.62702408271555,1186.2023518615076,-0.1999999999999318,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:40:47+00,-6.917380833,107.6623362,697.3,24,48.23529,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,29.34747270591787,1215.5498245674255,1.599999999999909,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:40:52+00,-6.91763,107.6625235,700.7,17,49.80392,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,34.57015535697461,1250.1199799244,3.400000000000091,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:40:57+00,-6.917829667,107.6626788,700.2,16,64.70588,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,28.05007486310545,1278.1700547875055,-0.5,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:02+00,-6.917998667,107.6628107,699.5,20,51.76471,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,23.772409066098714,1301.9424638536043,-0.7000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:07+00,-6.918201167,107.662962,699.6,17,49.01961,27.41117,35.0,28.86149,35.0,29.58666,32.0,24.22045,33.0,28.034796004284274,1329.9772598578886,0.10000000000002274,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:12+00,-6.918369,107.663086,698.4,16,49.80392,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,23.14376058594598,1353.1210204438346,-1.2000000000000455,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:17+00,-6.918554667,107.6630825,697.3,20,80.0,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,20.64887165321693,1373.7698920970515,-1.1000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:22+00,-6.918785333,107.6630752,693.1,22,59.21569,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,25.66157938742214,1399.4314714844736,-4.199999999999932,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:27+00,-6.9190645,107.6630362,693.3,21,45.88235,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,31.339094355790873,1430.7705658402645,0.1999999999999318,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:32+00,-6.919334,107.6630408,694.9,11,52.94118,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,29.97137574487627,1460.7419415851407,1.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:37+00,-6.919505333,107.6630632,695.7,18,69.01961,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,19.211174505963076,1479.9531160911038,0.8000000000000682,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:42+00,-6.919704833,107.6630642,696.6,11,49.41177,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,22.183693144310737,1502.1368092354146,0.8999999999999773,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:47+00,-6.919864,107.663071,699.2,13,67.84314,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,17.714497514926805,1519.8513067503413,2.6000000000000227,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
2025-11-14 05:41:52+00,-6.919928167,107.66319,696.8,14,54.5098,27.41117,35.0,28.86149,35.0,29.73169,32.0,24.22045,33.0,14.948542166646588,1534.799848916988,-2.400000000000091,5.968783039934295e-07,1.526897986959939e-06,2.151538072534453e-06,1.4436126422166665e-06
